Account ID,Org Name,Supply ID,Abstraction point reference,D-EH10 Resource consent reference number,D-EH10 Reason not available,D-EH12 Consent conditions met for rate of take and volume?,D-EH12 Total volume of exceedance if conditions not met (m3/yr),D-EH13 Consented instantaneous rate of take (L/s),D-EH13 Reason not available,D-EH14 Maximum daily consented volume (m3/day),D-EH14 Maximum weekly consented volume (m3/7 days),D-EH14 Reason not available,D-EH15 Maximum annual consented volume (m3/year),D-EH15 Reason not available,D-EH10 to D-EH15 Data confidence
ACC-00008533,Christchurch City Council,CHR009,PARKLANDS WELL-01,M35/3446,,Yes,,,Measure Not Applicable,,43400,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,PARKLANDS WELL-02,M35/3128,,Yes,,,Measure Not Applicable,,67060,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,PARKLANDS WELL-03,M35/7746,,Yes,,,Measure Not Applicable,,67060,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,PICTON WELL-01,M35/8897,,Yes,,,Measure Not Applicable,,28224,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,PICTON WELL-02,M35/8896,,Yes,,,Measure Not Applicable,,28224,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,PICTON WELL-03,M35/8898,,Yes,,,Measure Not Applicable,,10080,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,PRESTONS  WELL-01,BX24/0624,,Yes,,,Measure Not Applicable,,30000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,PRESTONS  WELL-02,BX24/0625,,Yes,,,Measure Not Applicable,,23000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,PRESTONS  WELL-03,BX24/0626,,Yes,,,Measure Not Applicable,,48000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,PRESTONS  WELL-04,BX24/0627,,Yes,,,Measure Not Applicable,,36288,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,REDWOOD WELL-03,BX24/2888,,Yes,,,Measure Not Applicable,,42000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,REDWOOD WELL-04,BX24/2889,,Yes,,,Measure Not Applicable,,42000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SOCKBURN WELL-01,M35/1859,,Yes,,,Measure Not Applicable,,182000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SOCKBURN WELL-02,M35/1860,,Yes,,,Measure Not Applicable,,182000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SOCKBURN WELL-03,M35/2272,,Yes,,,Measure Not Applicable,,182000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SOCKBURN WELL-04,M35/2273,,Yes,,,Measure Not Applicable,,182000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SOCKBURN WELL-05,M35/2274,,Yes,,,Measure Not Applicable,,182000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SOCKBURN WELL-06,M35/2275,,Yes,,,Measure Not Applicable,,182000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SPREYDON WELL-04,M36/1055,,Yes,,,Measure Not Applicable,,46900,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SPREYDON WELL-05,M36/1619,,Yes,,,Measure Not Applicable,,46900,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SPREYDON WELL-06,M36/8288,,Yes,,,Measure Not Applicable,,31500,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SPREYDON WELL-07,BX24/2875,,Yes,,,Measure Not Applicable,,46900,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ST JOHNS WELL-01,M35/2554,,Yes,,,Measure Not Applicable,,112000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ST JOHNS WELL-02,M35/2805,,Yes,,,Measure Not Applicable,,112000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ST JOHNS WELL-03,M35/18432,,Yes,,,Measure Not Applicable,,112000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SYDENHAM WELL-05,M36/0967,,Yes,,,Measure Not Applicable,,27800,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SYDENHAM WELL-06,M36/4565,,Yes,,,Measure Not Applicable,,84672,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SYDENHAM WELL-07,M36/20670,,Yes,,,Measure Not Applicable,,27216,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,SYDENHAM WELL-08,M36/20671,,Yes,,,Measure Not Applicable,,84672,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,TANNER WELL-02,M36/1915,,Yes,,,Measure Not Applicable,,26610,,362912,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,TANNER WELL-03,M36/20729,,Yes,,,Measure Not Applicable,,26610,,362912,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,TARA WELL-04,M35/6945,,Yes,,,Measure Not Applicable,,29484,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,THOMPSONS WELL-02,M35/8972,,Yes,,,Measure Not Applicable,,78400,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,THOMPSONS WELL-03,BX24/0153,,Yes,,,Measure Not Applicable,,78400,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,TRAFALGAR WELL-05,M35/2556,,Yes,,,Measure Not Applicable,,36316,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,TRAFALGAR WELL-06,M35/8452,,Yes,,,Measure Not Applicable,,36316,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,TRAFALGAR WELL-07,BX24/0348,,Yes,,,Measure Not Applicable,,27384,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,WILMERS WELL-01,M36/20556,,Yes,,,Measure Not Applicable,,113400,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,WILMERS WELL-02,M36/20557,,Yes,,,Measure Not Applicable,,113400,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,WOOLSTON WELL-04,M36/1030,,Yes,,,Measure Not Applicable,,26460,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,WOOLSTON WELL-05,M36/5838,,Yes,,,Measure Not Applicable,,30240,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,WORCESTER WELL-01,M35/9289,,Yes,,,Measure Not Applicable,,98000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,WORCESTER WELL-02,M35/9290,,Yes,,,Measure Not Applicable,,98000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,WRIGHTS WELL-05,BX24/1678,,Yes,,,Measure Not Applicable,,29064,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,WRIGHTS WELL-06,BX24/1679,,Yes,,,Measure Not Applicable,,30744,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,DUV001,Pipers Stream S00354,S00354,,Yes,,,Measure Not Applicable,,157680,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,DUV001,Pipers Stream S00354,S00354,,Yes,,,Measure Not Applicable,,157680,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,LIT001,LITTLE RIVER WELL,BY24/0001,,Yes,,6,,260,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,WAI138,WAINUI VALLEY WELL,N36/0048,,Yes,,,Measure Not Applicable,,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,BAL001,NZMS 260: H46:580-363,2002.238,,Yes,,64,,5500,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,CLY005,NZMS 260 G45:417-507,2006.22,,Yes,,60,,4387,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,GLE001,E1300475 N4913582 G44: 103-754; E1300425 N4913596,2005.283.V2,,Yes,,36,,3110,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008586,Clutha District Council,KAI005,NZMS 260: H46:667308,96676,,No,3113,25,,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,LAW001,NZTM 2000:E1347420 N4915563,RM12.137.01,,Yes,,20.8,,1800,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,MIL001,NZMS 260: H45:747527,2000.417.V1,,No,,39,,3360,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,MOA001,NZTM 2000: E1307473 N4941868,RM18.196.01,,Yes,,46.3,,4000,,Measure Not Applicable,1460000,,4 - Reliable
ACC-00008586,Clutha District Council,NOR003,NZTM 2000: E1364669 N4907605,RM18.385.01,,Yes,,27.8,,2300,,Measure Not Applicable,839500,,3 - Less Reliable
ACC-00008586,Clutha District Council,OWA001,NZTM 2000 E1343525 N4850698,RM17.177.01,,Yes,,4.4,,380,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,RIC009,NZMS260-H46:512257,98544,,Yes,,26,,2250,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,RIC009,NZTM 2000 - E1341291 N4863527,12.1.2.2,Measure Not Applicable,Yes,,100,,1000,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008586,Clutha District Council,RIC009,NZTM 2000 E1341841 N4864019,RM17.146.01,,Yes,,15,,1028,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,STI002,Point 1: NZTM 2000: E1352119 N4872638; Point 2: NZTM 2000: E1352104 N4872618,RM18.071.01,,Yes,,42,,3600,,Measure Not Applicable,912500,,5 - Highly Reliable
ACC-00008586,Clutha District Council,TAP001,NZMS 260: G45:223660,2000.418.V1,,Yes,,17,,1440,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008586,Clutha District Council,TUA004,NZTM 2000: E1339282 N4911247,RM17.089.01,,No,106.2,19,,1640,,Measure Not Applicable,600000,,5 - Highly Reliable
ACC-00008586,Clutha District Council,WAI016,NZMS 260 H45:523-564,2000.964,,No,445,38,,3283,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00006268,Department of Conservation,MTC001,Blackbirch stream,CRC054838,,Yes,,50,,4320,,,286978,,5 - Highly Reliable
ACC-00006268,Department of Conservation,MTC001,Glencoe Stream,CRC054838,,Yes,,13,,1123,,,113530,,5 - Highly Reliable
ACC-00006268,Department of Conservation,WHA015,Unnamed tributary of the Waipuna Stream,Water Permit - 106938,,Yes,,4,,345,2415,,125580,,5 - Highly Reliable
ACC-00006269,Department of Corrections,CHR008,M35/10794,CRC070263.1,,Yes,,30,,2160,,,328500,,5 - Highly Reliable
ACC-00006269,Department of Corrections,CHR008,M35/10795,CRC064272.1,,Yes,,30,,2160,,,328500,,5 - Highly Reliable
ACC-00006269,Department of Corrections,KAI002,Bore 790101,ATH-2005011070.01,,Yes,,13.8,,1000,,,286000,,5 - Highly Reliable
ACC-00006269,Department of Corrections,KAI002,Bore 790184,ATH-2005011069.02,,Yes,,13.8,,1000,,,286000,,5 - Highly Reliable
ACC-00006269,Department of Corrections,WAI013,72_10028,AUTH141931.01.01,,No,156.75,,Measure Not Applicable,1592,,,581080,,4 - Reliable
ACC-00006269,Department of Corrections,WAI013,72_4597,AUTH141931.01.01,,No,156.75,,Measure Not Applicable,1000,,,304775,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,,,,,,,,,,,,,
ACC-00008513,Dunedin City Council,,Burns Creek,2001.349,,No,,60,,3500,,,1277500,,2 - Uncertain
ACC-00008513,Dunedin City Council,,Jeffersons Creek,2001.348,,No,,23,,1400,,,511000,,2 - Uncertain
ACC-00008513,Dunedin City Council,,Morrisons Burn 1,2001.353,,Yes,,64,,3800,,,1387000,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,Morrisons Burn 2,2001.354,,Yes,,51,,3000,,,1095000,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,Nichols Creek,2001.355,,Yes,,24,,1400,,,511000,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,Ross Creek,2001.356,,Yes,,41,,3500,,,1277500,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,Unamed Tributaries of Sullivans Dam,2001.351,,No,,100,,5000,,,1825000,,2 - Uncertain
ACC-00008513,Dunedin City Council,,West Branch Creek,2001.352,,Yes,,24,,1500,,,547500,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,Williams Creek,2001.347,,No,,30,,2000,,,730000,,2 - Uncertain
ACC-00008513,Dunedin City Council,S00141,Deep Stream,2001.362.V1,,Yes,,460,,39744,,,14506560,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S00142,Deep Creek,2001.364.V1,,No,0,100,,8500,,,3102500,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S00143,Silverstream,2001.341.V1,,Yes,,127,,11000,,,4015000,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S00145,Cedar Farm Creek,2006.042.V1,,No,0,60,,5000,,,1825000,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S00156,Waikouaiti River,2006.002.V1,,Yes,,60,,1100,,,401500,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S00156,Waikouaiti River,2006.075.V1,,Yes,,60,,2400,,,876000,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S00867,Waipori River,2002.323,,Yes,,35,,3024,,,1103760,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S01067,Taieri Wells (infiltration gallery),RM18.351.02,,Yes,,375,,32280,,,11782200,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S01068,Outram Well (infiltration gallery),RM18.351.01,,No,301,7,,720,,,262800,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S10159,McQuilkans,2001.337.V1,,Yes,,90,,5000,,,1825000,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S10160,Sligos Creek,2001.338.V1,,Yes,,150,,9000,,,3285000,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,S10161,Whare Creek,2001.339.V1,,Yes,,150,,9000,,,3285000,,5 - Highly Reliable
ACC-00008510,Far North District Council,KAI006,Kaikohe,AUT.001862.01.05,,Yes,,,Measure Not Applicable,1500,25000,,149000,,5 - Highly Reliable
ACC-00008510,Far North District Council,KAI008,Kaitaia,AUT.005112,,Yes,,63,,5000,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008510,Far North District Council,KAW002,Kawakawa,AUT.002478.01.05,,Yes,,90,,4000,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008510,Far North District Council,KER001,Kerikeri,AUT.002044.01.04,,Yes,,,Measure Not Applicable,960,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008510,Far North District Council,OKA003,Okaihau,AUT.002031.01.04,,Yes,,,Measure Not Applicable,960,1685,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008510,Far North District Council,OMA002,Omapere,AUT.004369.01.03,,Yes,,8.7,,750,,Measure Not Applicable,60000,,5 - Highly Reliable
ACC-00008510,Far North District Council,OMA003,Omanaia Rawene,AUT.02577,,Yes,,2,,462,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008510,Far North District Council,PAI001,Paihia,AUT.002010,,Yes,,49,,4233,,Measure Not Applicable,1460000,,5 - Highly Reliable
ACC-00001008,Gisborne District Council,GIS001,Clapcott Dam,,Measure Not Applicable,,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00001008,Gisborne District Council,GIS001,Sang Dam,,Measure Not Applicable,,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00001008,Gisborne District Council,GIS001,Te Arai River,,Measure Not Applicable,,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00001008,Gisborne District Council,GIS001,Waipaoa River,WS-2021-110327-00,,Yes,,200,,17280,120960,,6307200,,5 - Highly Reliable
ACC-00001008,Gisborne District Council,GIS001,Williams Dam,,Measure Not Applicable,,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00001008,Gisborne District Council,TEK002,Bore at Te Karaka,WG-2019-108877-00,,Yes,,3.5,,300,2100,,109500,,5 - Highly Reliable
ACC-00001008,Gisborne District Council,WHA004,Mangatu River via Bore,WG-2019-108878-00,,Yes,,1.2,,104,728,,37960,,5 - Highly Reliable
ACC-00001008,Gisborne District Council,WHA004,Mangatu River via Bore,WG-2019-109634-00,,Yes,,0.9,,33,231,,12045,,5 - Highly Reliable
ACC-00008531,Gore District Council,G00051,Jacobstown Well 3,99197,,Yes,,34.7,,3000,21000,,1095000,,5 - Highly Reliable
ACC-00008531,Gore District Council,G00052,Coopers Well 4,204330,,Yes,,57.9,,5000,35000,,1825000,,5 - Highly Reliable
ACC-00008531,Gore District Council,G11153,Jacobstown Well 1,99197,,Yes,,34.7,,3000,21000,,1095000,,5 - Highly Reliable
ACC-00008531,Gore District Council,G11154,Coopers Well 3,204330,,Yes,,57.9,,5000,35000,,1825000,,5 - Highly Reliable
ACC-00008531,Gore District Council,S00056,Pleura Stream,AUTH-20191736-01,,Yes,,24,,1500,10500,,547500,,5 - Highly Reliable
ACC-00008531,Gore District Council,S01064,Mataura River,99223,,Yes,,23.1,,2000,14000,,730000,,5 - Highly Reliable
ACC-00001018,Greater Wellington Regional Council,BAT001,Battle Hill Bore,WGN230214 [38831],,Yes,,0.7,,5,35,,1825,,5 - Highly Reliable
ACC-00001018,Greater Wellington Regional Council,Kai140,Kaitoke Top Terrace Bore,BP33/0045,,Yes,,1,,87,435,,14919,,5 - Highly Reliable
ACC-00001015,Grey District Council,BLA001,Blackball Infiltration,RC01180/3,,Yes,,10,,85,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00001015,Grey District Council,GRE001,Coal Creek bores,RC01092/3,,Yes,,177,,15300,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00001015,Grey District Council,GRE001,Sids Rd Bores,RC01180/2,,Yes,,18,,1034,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00001003,Hamilton City Council,HAM001,Hamilton City Water Treatment Plant,AUTH113941.01.03,,Yes,,2470,,125315,,,45739975,,5 - Highly Reliable
ACC-00001003,Hamilton City Council,HAM001,Hamilton City Water Treatment Plant,AUTH123743.01.01,,Yes,,,Measure Not Applicable,250,,,45000,,5 - Highly Reliable
ACC-00001003,Hamilton City Council,HAM001,Hamilton City Water Treatment Plant,AUTH125287.01.01,,Yes,,,Measure Not Applicable,1200,,,438000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,CLI001,1658,AUTH-114790-03,,Yes,,50,,,3810,,198501,,5 - Highly Reliable
ACC-00008532,Hastings District Council,CLI001,17075,AUTH-114779-04,,Yes,,50,,,13500,,703350,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,1171,AUTH-120019-05,,Yes,,560,,,,Measure Not Applicable,16892000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,1302,AUTH-120019-05,,Yes,,560,,,,Measure Not Applicable,16892000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,16664,AUTH-120019-05,,Yes,,80,,,,Measure Not Applicable,16892000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,17026,AUTH-120019-05,,Yes,,560,,,,Measure Not Applicable,16892000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,17027,AUTH-120019-05,,Yes,,480,,,,Measure Not Applicable,16892000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,17028,AUTH-120019-05,,Yes,,480,,,,Measure Not Applicable,16892000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,17030,AUTH-120019-05,,Yes,,480,,,,Measure Not Applicable,16892000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,3253,AUTH-120019-05,,Yes,,120,,,,Measure Not Applicable,16892000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,4151,AUTH-116302-03,,Yes,,100,,,101281,,5276740,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAS001,766,AUTH-120019-05,,Yes,,560,,,,Measure Not Applicable,16892000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAU002,1187,AUTH-124374-01,,Yes,,50,,,20000,,550000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAU002,15176,AUTH-124374-01,,Yes,,50,,,20000,,550000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAU002,16889,AUTH-124374-01,,Yes,,50,,,20000,,550000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,HAU002,5830,AUTH-124374-01,,Yes,,8,,,20000,,550000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,OMA008,10334,AUTH-111979-01,,No,3998,14,,,1000,,25000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,OMA008,8531,AUTH-111979-01,,No,3998,14,,,1000,,25000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,TEP009,Te Pohue Spring,AUTH-122615-01,,Yes,,0.5,,,280,,14560,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WAI007,15419,AUTH-119996-02,,Yes,,15,,,5180,,270100,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WAI007,Spring 1,AUTH-119996-02,,Yes,,5,,,5180,,270100,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WAI007,Spring 2,AUTH-119996-02,,Yes,,5,,,5180,,270100,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WAI087,3516,AUTH-125382-01,,Yes,,2.5,,,750,,30000,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WAI135,15713,AUTH-117639-04,,Yes,,10,,,176,,9152,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WHA029,16673,AUTH-114782-04,,Yes,,50,,,3810,,198664,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WHI007,15707,AUTH-119526-01,,Yes,,49,,,23794,,1239667,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WHI007,15707,AUTH-119527-01,,Yes,,49,,,1544,,21770,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WHI007,4015,AUTH-119526-01,,Yes,,49,,,23794,,1239667,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WHI007,4015,AUTH-119527-01,,Yes,,49,,,1544,,21770,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WHI007,5033,AUTH-119526-01,,Yes,,49,,,23794,,1239667,,5 - Highly Reliable
ACC-00008532,Hastings District Council,WHI007,5033,AUTH-119527-01,,Yes,,49,,,1544,,21770,,5 - Highly Reliable
ACC-00008587,Hauraki District Council,S00045,Waihou River (Kerepehi),AUTH111659.01.01,,No,302435,400,,15000,105000,,3545000,,5 - Highly Reliable
ACC-00008587,Hauraki District Council,S00046,Mangatarata Stream (Waitakaruru),AUTH119762.01.01,,No,0,73,,6300,44100,,2764645,,5 - Highly Reliable
ACC-00008587,Hauraki District Council,S00049,Walmsley Stream (Waihi),AUTH130392.01.01,,Yes,0,50,,3500,24500,,1056000,,5 - Highly Reliable
ACC-00008587,Hauraki District Council,S00064,Waitawheta Stream (Paeroa),AUTH140228.01.01,,Yes,0,79,,6867,48069,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008587,Hauraki District Council,S00370,Waitakaruru River (Waitakaruru),AUTH119764.01.01,,No,0,75,,6480,45360,,2764645,,5 - Highly Reliable
ACC-00008587,Hauraki District Council,S01025,Ohinemuri River (Waihi),AUTH130392.03.01,,Yes,0,60,,4300,30100,,1056000,,5 - Highly Reliable
ACC-00001034,Horowhenua District Council,FOX003,Clyde st Bore,ATH-2010013405.00,,Yes,,46.3,,4000,571,,1460000,,4 - Reliable
ACC-00001034,Horowhenua District Council,FOX003,Edinburgh Bore,ATH-2001009425.01,,Yes,,9.7,,691,4837,,252215,,4 - Reliable
ACC-00001034,Horowhenua District Council,FOX003,Flagstaff Bore,ATH-2003010237.01,,Yes,,22,,1383,9681,,504795,,4 - Reliable
ACC-00001034,Horowhenua District Council,FOX003,Ladies Mile Bore,ATH-2010013405.00,,Yes,,46.3,,4000,571,,1460000,,4 - Reliable
ACC-00001034,Horowhenua District Council,FOX003,Local Bore (Harbour st),ATH-2010013407.00,,Yes,,46.3,,4000,571,,1460000,,4 - Reliable
ACC-00001034,Horowhenua District Council,LEV001,Ōhau at Rongomātāne - intake gallery,ATH-1991006011.03 (MWC901962),,Yes,,211,,15750,110250,,5748750,,5 - Highly Reliable
ACC-00001034,Horowhenua District Council,SHA001,Shannon Intake Gallery,ATH-2005010241.03,,Yes,,13.9,,1200,8400,,438000,,5 - Highly Reliable
ACC-00001034,Horowhenua District Council,TOK002,Tokomaru Intake Gallery,ATH-1994001627.01,,Yes,,10,,430,3010,,156950,,5 - Highly Reliable
ACC-00001012,Hurunui District Council,,"N32:0057, N32:0056, N32:0108",CRC002021,,Yes,,22,,1545,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
ACC-00001012,Hurunui District Council,AMB001,,CRC980468,,Yes,,7.5,,650,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
ACC-00001012,Hurunui District Council,AMB001,BW24/0051,CRC164844,,Yes,,35,,3024,0,Measure Not Applicable,540930,,4 - Reliable
ACC-00001012,Hurunui District Council,AMB001,M34/5707,CRC192903,,Yes,,25,,2160,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
ACC-00001012,Hurunui District Council,AMB001,M34/5864,CRC234173,,Yes,,20,,1728,0,Measure Not Applicable,662902,,4 - Reliable
ACC-00001012,Hurunui District Council,AMU001,BU25/5063,CRC18118,,Yes,,6,,1500,0,Measure Not Applicable,547501,,4 - Reliable
ACC-00001012,Hurunui District Council,AMU001,N32/0052 and N32/0055,CRC18118,,Yes,,21,,1500,0,Measure Not Applicable,547500,,4 - Reliable
ACC-00001012,Hurunui District Council,ASH002,"M34/0674,M34/0673,M34/5772,M34/5773,M34/5774,M35/11523,M35/11524,",CRC194404,,Yes,,70,,6000,0,Measure Not Applicable,1300000,,4 - Reliable
ACC-00001012,Hurunui District Council,BAL003,M33:831-299,CRC981241,,Yes,,9,,700,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
