Field,Page,Description
D-RL3 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL4 Date emergency response plan last reviewed (dd/mm/yyyy),DW Organisations,Date the emergency response plan was last reviewed.
D-RL4 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL4 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL5 Date business continuity plan last reviewed (dd/mm/yyyy),DW Organisations,Date the business continuity plan was last reviewed.
D-RL5 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL5 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL6 Date emergency response exercise last conducted (dd/mm/yyyy),DW Organisations,Date the last emergency response exercise was conducted.
D-RL6 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL6 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL7 Date BCP exercise last conducted (dd/mm/yyyy),DW Organisations,Date the last business continuity plan exercise was conducted.
D-RL7 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL7 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL2 to D-RL7 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-RL8 Strategic plan for future water supply demand?,DW Organisations,Indicates whether a strategic plan for future water supply demand exists.
D-RL8 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL8 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL8 Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-RL9 Days outdoor water use restricted (days),DW Organisations,Number of days outdoor water use was restricted.
D-RL9 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL9 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL10 Days outdoor water use banned (days),DW Organisations,Number of days outdoor water use was banned.
D-RL10 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL10 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL11 Were other water restrictions imposed?,DW Organisations,Indicates whether other water restrictions were imposed.
D-RL11 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL11 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL9 to D-RL11 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-ES1.1 Capex to meet additional demand ($),DW Organisations,Capital expenditure to meet additional demand.
D-ES1.1 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-ES1.2 Capex to replace or improve existing assets ($),DW Organisations,Capital expenditure to replace or improve existing assets.
D-ES1.2 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-ES2 Total operating expenditure ($),DW Organisations,Total operating expenditure for drinking water services.
D-ES2 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-ES2 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-ES1.1 to D-ES2 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-ES3 Forecast capex next year ($),DW Organisations,Forecast capital expenditure for the next year.
D-ES3 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-ES3 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-ES4 Forecast opex next year ($),DW Organisations,Forecast operating expenditure for the next year.
D-ES4 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-ES4 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-ES3 to D-ES4 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-ES5 Total revenue received ($),DW Organisations,Total revenue received for drinking water services.
D-ES5 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-ES5 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-ES5 Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
Account ID,DW Networks,Unique identifier for the reporting organisation account submitting NEPR data.
Org Name,DW Networks,Registered name of the reporting organisation.
Supply ID,DW Networks,Unique identifier for a drinking water supply.
Supply name,DW Networks,Name of the drinking water supply.
D-A5 Length of pipe in network (km),DW Networks,Total length of drinking water distribution pipes.
D-A5 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-A6 Number of drinking water abstraction points,DW Networks,Number of abstraction points supplying drinking water.
D-A6 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-A7 Main drinking water network source type,DW Networks,Primary source type supplying the drinking water network.
D-A7 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH1.1 Number of residential connections,DW Networks,Number of residential drinking water connections.
D-EH1.1 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH1.1 Method of determining connections,DW Networks,Method used to determine residential connection counts.
D-EH1.1 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH1.2 Number of residential units,DW Networks,Number of residential dwelling units served.
D-EH1.2 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH1.2 Method of determining units,DW Networks,Method used to determine residential unit counts.
D-EH1.2 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH2.1 Number of non-residential connections,DW Networks,Number of non-residential drinking water connections.
D-EH2.1 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH2.1 Method of determining connections,DW Networks,Method used to determine non-residential connection counts.
D-EH2.1 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH2.2 Number of non-residential units,DW Networks,Number of non-residential units served.
D-EH2.2 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH2.2 Method of determining units,DW Networks,Method used to determine non-residential unit counts.
D-EH2.2 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH3 Total population served,DW Networks,Estimated total population served.
D-EH3 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-A5 to D-EH3 Data confidence,DW Networks,Provider-assessed confidence level for these data points.
D-EH4 Total volume of water supplied to network (m3/year),DW Networks,Total annual volume of water supplied.
D-EH4 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH7 Volume of non-residential water use (m3/year),DW Networks,Annual volume supplied to non-residential users.
D-EH7 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH4 and D-EH7 Data confidence,DW Networks,Provider-assessed confidence level for these data points.
D-EH8 Number of resource consents held,DW Networks,Number of resource consents associated with the network.
D-EH8 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH8 Data confidence,DW Networks,Provider-assessed confidence level for this data point.
D-EH17 Amount of sludge produced (tonnes/year),DW Networks,Annual quantity of drinking water treatment sludge.
D-EH17 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH20.1 Disposal route for sludge,DW Networks,Primary disposal method for sludge.
D-EH20.1 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH20.1 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH18 Amount of backwash water used (m3/year),DW Networks,Annual volume of backwash water generated.
D-EH18 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH20.2 Disposal route for backwash water,DW Networks,Primary disposal method for backwash water.
D-EH20.2 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH20.2 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH19 Amount of screenings removed (tonnes/year),DW Networks,Annual quantity of screenings removed.
D-EH19 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH20.3 Disposal route for screenings,DW Networks,Primary disposal method for screenings.
D-EH20.3 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH20.3 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-EH17 to D-EH20.3 Data confidence,DW Networks,Provider-assessed confidence level for these data points.
D-EH21 Fish passage impeded assessment,DW Networks,Assessment of whether infrastructure impedes fish passage.
D-EH21 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH22 Processes to prevent fish ingress,DW Networks,Measures in place to prevent fish ingress.
D-EH22 Comments,DW Networks,Additional explanatory comments provided by the organisation.
D-EH21 to D-EH22 Data confidence,DW Networks,Provider-assessed confidence level for these data points.
D-R15 Average system pressure (kPa),DW Networks,Average operating pressure of the network.
D-R15 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-R16 Reference level for water pressure set?,DW Networks,Indicates whether a reference pressure level is defined.
D-R17 Reference level for water pressure (kPa),DW Networks,Defined reference pressure level.
D-R17 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-R18 Number of properties below reference pressure level,DW Networks,Number of properties below reference pressure.
D-R18 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-R15 to D-R18 Data confidence,DW Networks,Provider-assessed confidence level for these data points.
D-RE1 Total drinking water loss across network (m3/year),DW Networks,Estimated annual drinking water loss.
D-RE1 Includes private water loss?,DW Networks,Indicates whether private-side losses are included.
D-RE1 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-RE2.1 Current annual real loss - CARL (m3/year),DW Networks,Estimated current annual real losses.
D-RE2.1 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-RE2.2 Unavoidable annual real losses - UARL (m3/year),DW Networks,Estimated unavoidable annual real losses.
D-RE2.2 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-RE3 Infrastructure leakage index - ILI,DW Networks,Ratio of CARL to UARL.
D-RE1 to D-RE3 Data confidence,DW Networks,Provider-assessed confidence level for these data points.
D-RE4 Median residential water consumption (L/connection/day),DW Networks,Median daily residential water consumption per connection (litres per connection per day).
D-RE4 Reason not available,DW Networks,Shows any reasons why this data point is not available.
D-RE4 Data confidence,DW Networks,Provider-assessed confidence level for this data point.
Account ID,DW Consents,Unique identifier for the reporting organisation account submitting NEPR data.
Org Name,DW Consents,Registered name of the reporting organisation.
Supply ID,DW Consents,Unique identifier for a drinking water supply.
D-EH9 Type of resource consent,DW Consents,Type of drinking water-related resource consent.
D-EH9 Comments,DW Consents,Additional explanatory comments provided by the organisation.
D-EH10 Resource consent reference number,DW Consents,Official resource consent reference identifier.
D-EH11 Expiry date for resource consent,DW Consents,Expiry date of the resource consent.
D-EH11 Comments,DW Consents,Additional explanatory comments provided by the organisation.
D-EH11 Currently operating under this consent?,DW Consents,Indicates whether operations are currently under this consent.
D-EH11 Consent status,DW Consents,Current status of the resource consent.
D-EH16 Reason consent conditions not met,DW Consents,Reason consent conditions were not met.
D-EH16 Reason detail,DW Consents,Additional detail explaining why consent conditions were not met.
D-EH9 to D-EH16 Data confidence,DW Consents,Provider-assessed confidence level for these data points.
Account ID,DW Abstraction,Unique identifier for the reporting organisation account submitting NEPR data.
Org Name,DW Abstraction,Registered name of the reporting organisation.
Supply ID,DW Abstraction,Unique identifier for a drinking water supply.
Abstraction point reference,DW Abstraction,Identifier for an individual drinking water abstraction point.
D-EH10 Resource consent reference number,DW Abstraction,Official resource consent reference identifier.
D-EH10 Reason not available,DW Abstraction,Shows any reasons why this data point is not available.
D-EH12 Consent conditions met for rate of take and volume?,DW Abstraction,Indicates compliance with consented limits.
D-EH12 Total volume of exceedance if conditions not met (m3/yr),DW Abstraction,Total volume exceeded above consented limits.
D-EH13 Consented instantaneous rate of take (L/s),DW Abstraction,Maximum permitted instantaneous abstraction rate.
D-EH13 Reason not available,DW Abstraction,Shows any reasons why this data point is not available.
D-EH14 Maximum daily consented volume (m3/day),DW Abstraction,Maximum permitted daily abstraction volume.
D-EH14 Maximum weekly consented volume (m3/7 days),DW Abstraction,Maximum permitted weekly abstraction volume.
D-EH14 Reason not available,DW Abstraction,Shows any reasons why this data point is not available.
D-EH15 Maximum annual consented volume (m3/year),DW Abstraction,Maximum permitted annual abstraction volume.
D-EH15 Reason not available,DW Abstraction,Shows any reasons why this data point is not available.
D-EH10 to D-EH15 Data confidence,DW Abstraction,Provider-assessed confidence level for these data points.
Account ID,WW Organisations,Unique identifier for the reporting organisation account submitting NEPR data.
Org Name,WW Organisations,Registered name of the reporting organisation.
W-A1 Number of wastewater pump stations,WW Organisations,Total number of wastewater pump stations.
W-A1 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-A2.1 Total length of gravity wastewater pipes (km),WW Organisations,Total length of gravity wastewater pipes.
W-A2.1 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-A2.2 Total length of pressured wastewater pipes (km),WW Organisations,Total length of pressure wastewater pipes.
W-A2.2 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-A2.3 Total length of vacuum wastewater pipes (km),WW Organisations,Total length of vacuum wastewater pipes.
W-A2.3 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-A3 Total length of combined WW and SW pipes (km),WW Organisations,Total length of combined wastewater and stormwater pipes.
W-A3 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-A4 Wastewater imported for treatment (m3/year),WW Organisations,Annual wastewater volume imported for treatment.
W-A4 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-A5 Wastewater exported for treatment (m3/year),WW Organisations,Annual wastewater volume exported for treatment.
W-A5 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-A1 to W-A5 Data confidence,WW Organisations,Provider-assessed confidence level for these data points.
W-A6 Number of wastewater treatment plants,WW Organisations,Total number of wastewater treatment plants.
W-A6 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-A6 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-EH1.1 Residential connections to gravity sewers,WW Organisations,Number of residential connections to gravity sewers.
W-EH1.1 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH1.2 Residential connections to pressure sewers,WW Organisations,Number of residential connections to pressure sewers.
W-EH1.2 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH1.3 Residential connections to vacuum sewers,WW Organisations,Number of residential connections to vacuum sewers.
W-EH1.3 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH2.1 Non-residential connections to gravity sewers,WW Organisations,Number of non-residential connections to gravity sewers.
W-EH2.1 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH2.2 Non-residential connections to pressure sewers,WW Organisations,Number of non-residential connections to pressure sewers.
W-EH2.2 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH2.3 Non-residential connections to vacuum sewers,WW Organisations,Number of non-residential connections to vacuum sewers.
W-EH2.3 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH1.1 to W-EH2.3 Data confidence,WW Organisations,Provider-assessed confidence level for these data points.
W-EH10 Number of overflows caused by blockages,WW Organisations,Count of wastewater overflows caused by blockages.
W-EH10 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH11 Number of overflows caused by plant failure or equipment damage,WW Organisations,Overflows caused by plant or equipment failure.
W-EH11 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH12 Number of overflows caused by capacity exceeded (WW network),WW Organisations,Overflows due to network capacity exceedance.
W-EH12 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH13 Number of overflows caused by capacity exceeded (combined WW/SW),WW Organisations,Overflows due to combined system capacity exceedance.
W-EH13 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH14 Number of overflows from other causes,WW Organisations,Overflows attributed to other causes.
W-EH14 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH15 Number of overflows on private properties attributable to provider,WW Organisations,Overflows on private property attributable to the provider.
W-EH15 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH16 How are overflows reported to the network operator?,WW Organisations,Method used to report wastewater overflows.
W-EH16 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH17 Are overflows recorded through SCADA?,WW Organisations,Whether SCADA is used to record overflows.
W-EH17 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH18 What methodology is used for calculating overflows?,WW Organisations,Methodology used to calculate wastewater overflows.
W-EH18 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH19 Number of hours WWTP processes fully bypassed (hours),WW Organisations,Hours wastewater treatment was fully bypassed.
W-EH19 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH10 to W-EH19 Data confidence,WW Organisations,Provider-assessed confidence level for these data points.
W-EH23 Number of trade waste consents,WW Organisations,Number of trade waste consents.
W-EH23 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH24 Number of times trade waste consents breached,WW Organisations,Number of times trade waste consents were breached.
W-EH24 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH25 Actions taken due to trade waste consent breaches,WW Organisations,Actions taken due to trade waste consent breaches.
W-EH25 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-EH23 to W-EH25 Data confidence,WW Organisations,Provider-assessed confidence level for these data points.
W-R1 Median time to attend to a fault (hours),WW Organisations,Median response time to attend wastewater faults.
W-R1 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R2 Median time to resolve a fault (hours),WW Organisations,Median time to resolve wastewater faults.
W-R2 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R1 to W-R2 Data confidence,WW Organisations,Provider-assessed confidence level for these data points.
W-R7 Number of planned maintenance activities,WW Organisations,Number of planned maintenance activities.
W-R7 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
