Account ID,Org Name,Supply ID,D-EH9 Type of resource consent,D-EH9 Comments,D-EH10 Resource consent reference number,D-EH11 Expiry date for resource consent,D-EH11 Comments,D-EH11 Currently operating under this consent?,D-EH11 Consent status,D-EH16 Reason consent conditions not met,D-EH16 Reason detail,D-EH9 to D-EH16 Data confidence
ACC-00008498,Buller District Council,WES001,Water take,Orowaiti tributary at Keoghans,RC05233/3,2041-04-26 00:00:00,,No,,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WES001,Water take,Orowaiti tributary at Keoghans,RC05233/4,2041-04-26 00:00:00,,No,,,,5 - Highly Reliable
ACC-00001075,Carterton District Council,CAR001,Water take,,WAR020050,2013-03-25 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00001075,Carterton District Council,CAR001,Discharge to water,,WAR020050,2013-03-25 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00001075,Carterton District Council,CAR001,Other (Please identify in the comments section),,WAR020050,2013-03-25 00:00:00,Structure in stream - dam and weirs,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00001075,Carterton District Council,CAR001,Water take,,WAR140259,2034-04-23 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00001635,Central Hawke's Bay District Council,KAI012,Water take,,AUTH-106552-01,2029-05-31 00:00:00,,Yes,Active,,Missing values from data,5 - Highly Reliable
ACC-00001635,Central Hawke's Bay District Council,KAI012,Water take,,AUTH-118076-01,2029-05-31 00:00:00,,Yes,Active,,Missing values from data,5 - Highly Reliable
ACC-00001635,Central Hawke's Bay District Council,POR003,Water take,,AUTH-118048-01,2034-05-31 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00001635,Central Hawke's Bay District Council,TAK001,Water take,,AUTH-121511-01,2035-05-31 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00001635,Central Hawke's Bay District Council,WAI004,Water take,,AUTH-113708-03,2028-05-31 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00001635,Central Hawke's Bay District Council,WAI005,Water take,,AUTH-113776-01,2050-05-31 00:00:00,,Yes,Active,,Missing values from data,5 - Highly Reliable
ACC-00001635,Central Hawke's Bay District Council,WAI005,Water take,,AUTH-127023-01,2028-05-31 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008538,Central Otago District Council,CRO001,Land use,To construct a bore for a community water supply for Cromwell township,2001.92,,No expiry date,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,CRO001,Land use,,2010.084,,No expiry date,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,CRO001,Water take,,RM22.319.01,2028-08-30 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,LAK028,Land use,To construct two bores,2001.772,,No expiry date,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,LAK028,Land use,,RM14.131.01,,No expiry date,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,LAK028,Land use,,RM16.063.01,,No expiry date,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,LAK028,Water take,,RM22.317.01.V1,2028-11-08 00:00:00,,Yes,Active,L/sec exceeded,Exceeded flow rate,3 - Less Reliable
ACC-00008538,Central Otago District Council,OMA005,Water take,,99169,2035-07-01 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,OMA005,Land use,,99201,2035-07-01 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,PAT003,Water take,,RM16.277.01.V1,2050-11-01 00:00:00,,Yes,Active,Annual and monthly take under limit. L/sec was exceeded at times across the year,Exceeded flow rate,4 - Reliable
ACC-00008538,Central Otago District Council,PAT003,Other (Please identify on the comments section),To dam the Sow Burn for the purpose of operating an intake weir,RM22.227.01,2050-11-01 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,PAT003,Discharge to water,,RM22.227.02,2050-11-01 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,PIS002,Water take,,RM17.138.01,2052-07-01 00:00:00,,Yes,Active,Annual take under limit. 167 minutes over the year where the L/sec was exceeded and 7 days over the year where the daily limit was exceeded,Exceeded flow rate,4 - Reliable
ACC-00008538,Central Otago District Council,RAN002,Other (Please identify on the comments section),To dam water within a water storage reservoir,RM21.224.01,2043-05-30 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,RAN002,Water take,,RM21.224.02,2029-05-30 00:00:00,,Yes,Active,"Flow meter currently unable to be verified, data logger failure, data not being sent to the Consent Authority",Volume not recorded,4 - Reliable
ACC-00008538,Central Otago District Council,RAN002,Water take,,RM21.224.03,2029-05-30 00:00:00,,Yes,Active,"Flow meter currently unable to be verified, data logger failure, data not being sent to the Consent Authority",Volume not recorded,4 - Reliable
ACC-00008538,Central Otago District Council,RAN002,Discharge to water,,RM21.224.04,2043-05-30 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,RAN002,Discharge to water,,RM21.224.05,2043-05-30 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,RAN002,Discharge to water,,RM21.224.06,2043-05-30 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,ROX001,Water take,,2005.764.V1,2041-09-15 00:00:00,,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00008538,Central Otago District Council,ROX001,Land use,To construct a bore for the purpose of accessing groundwater,RM16.163.01,,No expiry date,Yes,Active,No breaches of conditions,,4 - Reliable
ACC-00001252,Chatham Islands Council,KAI041,Measure Not Applicable,,NA,,NA,,Measure Not Applicable,,,5 - Highly Reliable
ACC-00001252,Chatham Islands Council,WAI158,Measure Not Applicable,,NA,,NA,,Measure Not Applicable,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,Water take,Grehan Valley Stream,CRC011997,2040-11-02 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,Water take,Aylmers Stream,CRC011998,2040-11-02 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,Water take,Balguerie Stream,CRC011999,2040-11-02 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,Water take,Settlers Hill bore,CRC020639,2036-11-16 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,Water take,Aylmers Valley bore,CRC073807,2042-08-21 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,Water take,"Takamatua Weir, dam",CRC940913,2029-03-23 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,Water take,Takamatua Stream,CRC940914,2029-04-27 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,Water take,"Balguerie Stream, divert",CRC981673,2033-04-30 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,BIR001,Discharge to land,Birdlings flat TP backwash,CRC101370,2044-12-24 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,BIR001,Water take,Bayleys Rd bore,CRC146757,2035-05-11 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,BRO013,Water take,City global water take,CRC243183,2033-09-30 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,BUR005,Water take,City global water take,CRC243183,2033-09-30 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,Water take,City global water take,CRC243183,2033-09-30 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,DUV001,Discharge to water,SW discharge and backwash from Okains Bay TP,CRC103627,2046-01-24 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,DUV001,Water take,Pipers stream,CRC920829B,2028-07-31 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,KEY001,Water take,City global water take,CRC243183,2033-09-30 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,LIT001,Water take,Western Valley Rd bore,CRC142901,2046-10-27 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,LIT001,Discharge to land,Backwash water from Little River TP,CRC154876,2047-12-03 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,LIT001,Water take,Police Creek abstraction,CRC920831A,2028-06-30 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,WAI138,Discharge to water,Wainui TP discharge backwash,CRC920830C,2028-07-31 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008533,Christchurch City Council,WAI138,Water take,Wainui bore take,CRC972116,2032-04-16 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,,,,,,,,,,,
ACC-00008586,Clutha District Council,,,,,,,,,,,
ACC-00008586,Clutha District Council,BAL001,Water take,,2002.238,2037-11-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,CLY005,Water take,,2006.22,2041-01-12 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,GLE001,Water take,,2005.283.V2,2040-12-07 00:00:00,,Yes,Active,Some missing data at start of 2024,Missing values from data,4 - Reliable
ACC-00008586,Clutha District Council,GLE001,Discharge to water,,RM15.314.01,2051-01-01 00:00:00,,Yes,Active,Discharge monitoring parameters exceeded for dissolved aluminium.,Other (Please identify in the comments section),5 - Highly Reliable
ACC-00008586,Clutha District Council,GLE001,Other (Please identify in the comments section),Supplementary water take (not exercised),RM23.548.02,2040-12-07 00:00:00,,No,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,KAI005,Water take,,96676,2024-01-11 00:00:00,,Yes,Operating under s124 RMA,,Exceeded flow rate,5 - Highly Reliable
ACC-00008586,Clutha District Council,KAI005,Discharge to water,,RM15.315.01,2051-01-01 00:00:00,,Yes,Active,Weekly flow rate exceeded on 5 occasions.,Exceeded flow rate,5 - Highly Reliable
ACC-00008586,Clutha District Council,LAW001,Water take,,RM12.137.01,2050-01-31 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,LAW001,Discharge to land,,RM23.718.01,2026-03-13 00:00:00,,Yes,Active,Annual rolling average exceeded on 31 days.,Exceeded volume,5 - Highly Reliable
ACC-00008586,Clutha District Council,MIL001,Water take,,2000.417.V1,2031-01-02 00:00:00,,Yes,Active,,Exceeded flow rate,5 - Highly Reliable
ACC-00008586,Clutha District Council,MIL001,Other (Please identify in the comments section),Permit to dam Tokomairiro River for weater intake structure,2005.637,2041-03-20 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,MOA001,Discharge to water,,RM15.115.01,2050-01-09 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,MOA001,Water take,,RM18.196.01,2028-12-16 00:00:00,,Yes,Active,"Flow meter is measuring from raw storage reservoir, not from intake, therefore data accuracy is lower.",Other (Please identify in the comments section),3 - Less Reliable
ACC-00008586,Clutha District Council,MOA001,Other (Please identify in the comments section),Water permit to dam water in Timber Creek,RM18.196.02,2028-12-16 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,MOA001,Other (Please identify in the comments section),Water permit to dam water in storage reservoir,RM18.196.03,2028-12-16 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,NOR003,Discharge to water,,RM15.116.01,2050-01-09 00:00:00,,Yes,Active,,Exceeded volume,5 - Highly Reliable
ACC-00008586,Clutha District Council,NOR003,Water take,,RM18.385.01,2028-12-15 00:00:00,,Yes,Active,"Flow meter is measuring from raw storage reservoir, not from intake, therefore data accuracy is lower.",Other (Please identify in the comments section),3 - Less Reliable
ACC-00008586,Clutha District Council,OWA001,Water take,,RM17.177.01,2052-01-07 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,RIC009,Other (Please identify in the comments section),Permitted activity,12.1.2.2,1999-01-03 00:00:00,,Yes,Expired,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,RIC009,Water take,,98544,2019-01-03 00:00:00,,Yes,Expired,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,RIC009,Discharge to water,,RM13.134.01,2048-09-25 00:00:00,,Yes,Active,Flow rate exceeded on 16/06/2024,Exceeded flow rate,5 - Highly Reliable
ACC-00008586,Clutha District Council,RIC009,Discharge to water,,RM13.135.01,2048-11-27 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,RIC009,Water take,,RM17.146.01,2050-01-03 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,STI002,Discharge to water,,RM12.112.01,2032-07-25 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,STI002,Water take,,RM18.071.01,2044-08-10 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,TAP001,Water take,,2000.418.V1,2030-01-11 00:00:00,,Yes,Active,,,
ACC-00008586,Clutha District Council,TAP001,Discharge to water,,RM17.035.01,2025-10-28 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,TUA004,Water take,,RM17.089.01,2028-05-18 00:00:00,,Yes,Active,Instantaneous flow rate exceeded on 4 occasions.,Exceeded flow rate,5 - Highly Reliable
ACC-00008586,Clutha District Council,WAI016,Water take,,2000.964,2039-08-12 00:00:00,,Yes,Active,Daily limit exceeded on 14/02/2024,Exceeded volume,5 - Highly Reliable
ACC-00008586,Clutha District Council,WAI016,Discharge to water,,RM11.036.01,2046-04-27 00:00:00,,Yes,Active,Instantaneous outflow exceeded on 37 occasions.,Exceeded flow rate,5 - Highly Reliable
ACC-00006268,Department of Conservation,MTC001,Discharge to water,,CRC054830,2044-02-27 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00006268,Department of Conservation,MTC001,Water take,,CRC054838,2044-02-27 00:00:00,,Yes,Active,Long term meter unnavailable due to lightning strike,Equipment failure,3 - Less Reliable
ACC-00006268,Department of Conservation,MTC001,Land use,,CRC054839,2044-02-27 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00006268,Department of Conservation,WHA015,Water take,,Water Permit - 106938,2035-07-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00006269,Department of Corrections,CHR008,Water take,,CRC064272.1,2032-07-01 00:00:00,,Yes,Active,Met all conditions,,5 - Highly Reliable
ACC-00006269,Department of Corrections,CHR008,Water take,,CRC070263.1,2032-07-01 00:00:00,,Yes,Active,Met all conditions,,5 - Highly Reliable
ACC-00006269,Department of Corrections,KAI002,Water take,,ATH-2005011069.02,2044-07-01 00:00:00,,Yes,Active,Met all conditions,,5 - Highly Reliable
ACC-00006269,Department of Corrections,KAI002,Water take,,ATH-2005011070.01,2044-07-01 00:00:00,,Yes,Active,Met all conditions,,5 - Highly Reliable
ACC-00006269,Department of Corrections,WAI013,Water take,,AUTH141931.01.01,2056-05-31 00:00:00,,Yes,Active,,Exceeded volume,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,Other,Diversion,2001.361,2039-03-19 00:00:00,Not in use for a registered drinking water supply.,No,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,Dam,,2002.313,2039-03-19 00:00:00,Not in use for a registered drinking water supply.,No,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,Dam,,2002.314,2039-03-19 00:00:00,Not in use for a registered drinking water supply.,No,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,,Dam,,2002.315,2039-03-19 00:00:00,Not in use for a registered drinking water supply.,No,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Dam,,2000.009,2037-09-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Other,Diversion,2000.013,2037-09-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Discharge to water,,2000.016,2037-09-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Discharge to water,,2000.032.V1,2037-09-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Water take,,2001.337.V1,2039-03-19 00:00:00,,Yes,Active,Data issue,Exceeded flow rate,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Water take,,2001.338.V1,2039-03-19 00:00:00,,Yes,Active,Data issue,Exceeded flow rate,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Water take,,2001.339.V1,2039-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Water take,,2001.341.V1,2039-03-19 00:00:00,,Yes,Active,Data issue,Exceeded flow rate,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Water take,,2001.362.V1,2039-03-19 00:00:00,,Yes,Active,Data issue,Exceeded flow rate,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Water take,,2001.364.V1,2039-03-19 00:00:00,,Yes,Active,,Exceeded flow rate,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Dam,,2002.309,2039-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Dam,,2002.31,2039-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Dam,,2002.311,2039-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Dam,,2002.312,2039-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Discharge to land,,2004.754,2039-10-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Discharge to land,,2004.756,2039-10-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Other,Diversion,2005.414,2039-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Other,Diversion,2005.416,2039-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Water take,,2006.042,2039-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Discharge to water,,2009.423,2045-01-22 00:00:00,,Yes,Active,One exceedance.,Exceeded flow rate,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Discharge to water,,2010.22,2045-09-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Discharge to water,,RM13.052.01,2028-05-13 00:00:00,,Yes,Active,Exceedances in the discharged volume and discharge water quality limit.,Other,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001,Discharge to water,,RM16.315.01,2053-03-06 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,DUN001 & OUT001,Water take,,RM18.351.02,2039-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008513,Dunedin City Council,OUT001,Water take,,RM18.351.01,2039-03-19 00:00:00,,Yes,Active,"Water is extracted from Taieri well due to high demand.Due to the configuration of the pipework when the Taieri Well is used to supply the Outram WTP, the abstraction flow is recorded against the Outram Well.",Exceeded volume,5 - Highly Reliable
